ledger_id,group,title,status,goal_level,method,attestation_chain,generated_at,checked_rows,source_inputs_count,substantive_finding,reader_use,artifact_path,summary_path,csv_path,non_claim
targeted-public-map-inspection,public-map gap,Targeted public-map inspection,ai_public_map_targeted_inspection_not_human_validation,L3 targeted public-map inspection packet,,ai-first,2026-06-18T20:07:36Z,40,4,"The targeted public-map inspection checks 40 rows; all 40 have a candidate public-map feature, but 0 are closed or reclassified.",Shows what the public map can and cannot resolve for selected rows.,facility-validation-public-map-inspection.md,generated/psdq-bgd-facility-validation-public-map-inspection-summary.json,generated/psdq-bgd-facility-validation-public-map-inspection.csv,"This is an AI-first targeted public-map inspection packet for sampled DGHS public-map-gap rows. It uses the committed row-evidence ledger, public DGHS profile links, public geoBoundaries, and the pinned OSM/Overpass health-feature cache. It is not human validation, not ground truth, not a facility-quality assessment, and not a service-access estimate."
first-public-source-confirmation,public-source confirmation,First-row public-source confirmation,ai_public_source_confirmation_not_human_validation,L3 first-row public-source confirmation packet,,ai-first,2026-06-18T20:22:20Z,12,1,"The public-source confirmation packet checks 12 rows, retrieves 12 DGHS profiles and 12 OSM API records, and closes 0.",Tests the public-source confirmation route before scaling to all targeted rows.,facility-validation-public-source-confirmation.md,generated/psdq-bgd-facility-validation-public-source-confirmation-summary.json,generated/psdq-bgd-facility-validation-public-source-confirmation.csv,"This is an AI-first public-source confirmation packet for the first targeted PSDQ public-map inspection rows. It retrieves public DGHS profile pages and public OSM API feature records. It is not human validation, not ground truth, not a facility-quality assessment, and not a service-access estimate."
targeted-public-source-confirmation,public-source confirmation,Targeted public-source confirmation,ai_public_source_confirmation_targeted_rows_not_human_validation,L3 targeted-row public-source confirmation packet,,ai-first,2026-06-19T00:40:35Z,40,1,"The public-source confirmation packet checks 40 rows, retrieves 40 DGHS profiles and 40 OSM API records, and closes 0.",Scales public DGHS profile and OSM API retrieval to the targeted row set.,facility-validation-public-source-confirmation-targeted-rows.md,generated/psdq-bgd-facility-validation-public-source-confirmation-targeted-rows-summary.json,generated/psdq-bgd-facility-validation-public-source-confirmation-targeted-rows.csv,"This is an AI-first public-source confirmation packet for targeted PSDQ public-map inspection rows. It retrieves public DGHS profile pages and public OSM API feature records. It is not human validation, not ground truth, not a facility-quality assessment, and not a service-access estimate."
public-source-decision-ledger,public-source confirmation,Public-source decision ledger,ai_public_source_decision_ledger_not_human_validation,L3 public-source decision ledger,"Include every possible same-facility row, every source-repair row, and every priority-1 name-conflict row. Defer zero-OSM upazila observability rows and lower-priority name-conflict spot checks.",ai-first,2026-06-19T01:01:40Z,16,2,"The public-source decision ledger narrows 40 targeted rows to 16 reviewer rows: 4 source-repair, 3 possible same-facility, and 9 high-exposure name-conflict rows.","Narrows the next review questions into source repair, possible same-facility, and name-conflict lanes.",facility-validation-public-source-decision-ledger.md,generated/psdq-bgd-facility-validation-public-source-decision-ledger-summary.json,generated/psdq-bgd-facility-validation-public-source-decision-ledger.csv,"This is an AI-first public-source decision ledger for PSDQ targeted inspection rows. It prioritizes public-source reviewer questions from DGHS profile and OSM API retrieval evidence. It is not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a facility-quality assessment, and not a service-access estimate."
possible-same-facility-review,human/source-owner gate,Possible same-facility review,ai_possible_same_facility_review_not_validation,L3 possible same-facility no-contact review packet,ai_possible_same_facility_no_contact_review_v1,ai-first,2026-06-19T03:06:44Z,3,2,The possible same-facility review checks 3 rows and allows 0 same-facility reclassifications under current public evidence.,Keeps possible same-facility rows open until identity and location evidence are both strong enough.,facility-validation-possible-same-facility-review.md,generated/psdq-bgd-facility-validation-possible-same-facility-review-summary.json,generated/psdq-bgd-facility-validation-possible-same-facility-review.csv,"This is an AI-first no-contact review packet for PSDQ possible same-facility public-map candidates. It reads public DGHS and OSM retrieval artifacts and translates them into review gates. It is not external outreach, not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
priority-name-conflict-review,human/source-owner gate,Priority name-conflict review,ai_priority_name_conflict_review_not_validation,L3 priority name-conflict no-contact review packet,ai_priority_name_conflict_no_contact_review_v1,ai-first,2026-06-19T03:21:37Z,9,2,The priority name-conflict review checks 9 rows; current artifacts find 0 public alias/location sources and allow 0 closures.,Prevents high-exposure name conflicts from becoming map-absence claims without support.,facility-validation-priority-name-conflict-review.md,generated/psdq-bgd-facility-validation-priority-name-conflict-review-summary.json,generated/psdq-bgd-facility-validation-priority-name-conflict-review.csv,"This is an AI-first no-contact review packet for PSDQ priority-1 name-conflict public-map candidates. It reads public DGHS and OSM retrieval artifacts and translates them into review gates. It is not external outreach, not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
lower-priority-name-conflict-review,human/source-owner gate,Lower-priority name-conflict spot check,ai_lower_priority_name_conflict_review_not_validation,L3 lower-priority name-conflict spot-check no-contact review packet,ai_lower_priority_name_conflict_no_contact_review_v1,ai-first,2026-06-19T04:00:02Z,6,2,"The lower-priority name-conflict spot check reviews 6 rows, including 4 rows sharing reused candidate features, and allows 0 closures.",Documents repeated-candidate risks outside the priority-1 queue.,facility-validation-lower-priority-name-conflict-review.md,generated/psdq-bgd-facility-validation-lower-priority-name-conflict-review-summary.json,generated/psdq-bgd-facility-validation-lower-priority-name-conflict-review.csv,"This is an AI-first no-contact spot-check review packet for PSDQ lower-priority name-conflict public-map candidates. It reads public DGHS and OSM retrieval artifacts and translates them into review gates. It is not external outreach, not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
zero-osm-observability-review,public-map gap,Zero-OSM upazila observability review,ai_zero_osm_upazila_observability_review_not_validation,L3 zero-OSM upazila observability no-contact review packet,ai_zero_osm_upazila_observability_no_contact_review_v1,ai-first,2026-06-19T03:52:45Z,115,4,"The zero-OSM observability review identifies 115 upazilas with active registry facilities and zero joined OSM health features, covering 3,879 active clinical facilities.",Allows upazila-level observability language but not facility-level absence claims.,facility-validation-zero-osm-upazila-observability-review.md,generated/psdq-bgd-facility-validation-zero-osm-upazila-observability-review-summary.json,generated/psdq-bgd-facility-validation-zero-osm-upazila-observability-review.csv,"This is an AI-first no-contact upazila-level observability review for PSDQ Bangladesh zero-OSM public-map contexts. It reads committed DGHS, OSM, Open Buildings, boundary, and inspection artifacts. It is not facility-level absence evidence, not external outreach, not human validation, not ground truth, not a row closure, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
source-repair-public-evidence,source repair,Source-repair public-evidence attachment,ai_public_source_repair_evidence_attachment_not_human_validation,L3 source-repair public-evidence attachment,Include only decision-ledger rows where decision_track is source_repair_first.,ai-first,2026-06-19T01:26:53Z,4,2,"The source-repair evidence attachment covers 4 rows, attaches public evidence to 4, and closes 0.",Attaches public DGHS/OSM evidence before any repair decision.,facility-validation-source-repair-public-evidence.md,generated/psdq-bgd-facility-validation-source-repair-public-evidence-summary.json,generated/psdq-bgd-facility-validation-source-repair-public-evidence.csv,"This is an AI-first public-source evidence attachment for PSDQ source-repair rows. It attaches already retrieved public DGHS profile and OSM API evidence to reviewer questions. It is not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a facility-quality assessment, and not a service-access estimate."
official-coordinate-evidence,source repair,Official-coordinate evidence pass,ai_public_source_repair_official_coordinate_evidence_not_human_validation,L3 source-repair official-coordinate evidence,Include only rows in the 4-row source-repair public-evidence attachment.,ai-first,2026-06-19T01:46:25Z,4,3,"The official-coordinate pass exposes profile coordinates for 4 rows, finds 0 explicit coordinate-source explanations, and closes 0 rows.",Checks what the public official profile coordinate itself can prove.,facility-validation-source-repair-official-coordinate-evidence.md,generated/psdq-bgd-facility-validation-source-repair-official-coordinate-evidence-summary.json,generated/psdq-bgd-facility-validation-source-repair-official-coordinate-evidence.csv,"This is an AI-first public-source coordinate evidence pass for PSDQ source-repair rows. It parses official DGHS public profile map coordinates and compares them with pinned public OSM candidate coordinates. It is not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a facility-quality assessment, and not a service-access estimate."
public-explanation-evidence,source repair,Public-explanation search,ai_public_source_repair_public_explanation_search_not_human_validation,L3 source-repair public-explanation search,Include only rows in the 4-row source-repair official-coordinate evidence pass.,ai-first,2026-06-19T02:04:31Z,4,3,"The public-explanation search checks 6 official portal URLs, retrieves 5 pages, and finds 0 explicit correction explanations.",Searches public official pages for coordinate-source or correction explanations.,facility-validation-source-repair-public-explanation-evidence.md,generated/psdq-bgd-facility-validation-source-repair-public-explanation-evidence-summary.json,generated/psdq-bgd-facility-validation-source-repair-public-explanation-evidence.csv,"This is an AI-first public-source explanation search for PSDQ source-repair rows. It checks public official DGHS profile pages, cached DGHS registry records, and public government health portals for coordinate source or correction explanations. It is not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a facility-quality assessment, and not a service-access estimate."
correction-record-followup,source repair,Correction-record follow-up,ai_public_source_repair_correction_record_followup_not_human_validation,L3 source-repair targeted correction-record follow-up,Include public-explanation rows classified as shared official coordinate across distinct records or same-name cross-district coordinate conflict.,ai-first,2026-06-19T02:18:58Z,3,1,The correction-record follow-up checks 20 official sources for 3 rows and finds 0 public correction records.,Checks whether official public records explain the coordinate conflict.,facility-validation-source-repair-correction-record-followup.md,generated/psdq-bgd-facility-validation-source-repair-correction-record-followup-summary.json,generated/psdq-bgd-facility-validation-source-repair-correction-record-followup.csv,"This is an AI-first targeted public correction-record follow-up for PSDQ source-repair rows. It checks public official DGHS registry, DGHS Health Dashboard, and government health portal pages for coordinate-source or correction records. It is not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
clarification-packet,human/source-owner gate,No-contact clarification packet,ai_public_source_repair_clarification_packet_not_contact_or_validation,L3 source-repair no-contact clarification packet,ai_public_source_repair_clarification_packet_v1,ai-first,2026-06-19T02:34:16Z,3,1,The clarification packet leaves 3 rows requiring source-owner clarification and 3 requiring human location validation if no source-owner response exists.,Turns unresolved source-repair rows into source-owner or human-review questions without contact.,facility-validation-source-repair-clarification-packet.md,generated/psdq-bgd-facility-validation-source-repair-clarification-packet-summary.json,generated/psdq-bgd-facility-validation-source-repair-clarification-packet.csv,"This is an AI-first no-contact clarification packet for unresolved PSDQ source-repair rows. It translates public official evidence into source questions for a source owner or human reviewer. It is not external outreach, not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
registry-vintage-review,human/source-owner gate,Registry-vintage review,ai_public_source_repair_registry_vintage_review_not_validation,L3 source-repair registry-vintage review packet,ai_public_source_repair_registry_vintage_review_v1,ai-first,2026-06-19T02:44:41Z,3,3,"The registry-vintage review finds profile update timestamps for 3 rows, but 0 public correction or coordinate-source records.",Shows that recent registry timestamps still do not resolve the public correction-record gap.,facility-validation-source-repair-registry-vintage-review.md,generated/psdq-bgd-facility-validation-source-repair-registry-vintage-review-summary.json,generated/psdq-bgd-facility-validation-source-repair-registry-vintage-review.csv,"This is an AI-first no-contact registry-vintage review packet for unresolved PSDQ source-repair rows. It reads public-source artifacts and translates them into review gates. It is not external outreach, not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
human-gated-handoff,human/source-owner gate,Human-gated handoff matrix,ai_human_gated_handoff_not_validation,L3 consolidated human-gated no-contact handoff matrix,ai_human_gated_handoff_no_contact_matrix_v1,ai-first,2026-06-19T05:14:09Z,39,5,The human-gated handoff consolidates 39 open rows across 5 groups; 39 require human or source-owner action and 0 are allowed for closure.,Names the exact rows that require source-owner or human action.,facility-validation-human-gated-handoff.md,generated/psdq-bgd-facility-validation-human-gated-handoff-summary.json,generated/psdq-bgd-facility-validation-human-gated-handoff.csv,"This is an AI-first no-contact handoff matrix for unresolved PSDQ Bangladesh facility-validation rows. It consolidates public evidence and states the owner or human-validation gate. It is not external outreach, not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
human-validation-worksheet,human/source-owner gate,Human-validation worksheet,ai_human_validation_worksheet_not_validation,L3 no-contact human-validation worksheet,ai_human_validation_worksheet_no_contact_v1,ai-first,2026-06-19T05:14:10Z,39,1,The worksheet pre-fills 39 review rows and leaves 39 human-validation statuses blank by design.,Provides the future human-review form without pre-filling decisions.,facility-validation-human-validation-worksheet.md,generated/psdq-bgd-facility-validation-human-validation-worksheet-summary.json,generated/psdq-bgd-facility-validation-human-validation-worksheet.csv,"This is an AI-first no-contact worksheet for unresolved PSDQ Bangladesh facility-validation rows. It pre-fills public evidence, review questions, and decision rules for a future human or source-owner review. It is not external outreach, not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
ai-closure-audit,human/source-owner gate,AI closure audit,ai_closure_audit_human_or_source_owner_wall,L3 no-contact AI closure audit,ai_closure_audit_from_human_validation_worksheet_v1,ai-first,2026-06-19T05:14:11Z,39,1,"The AI closure audit checks 39 unresolved rows and records 39 human/source-owner wall rows, 0 AI-actionable rows, and 39 keep-open-only rows.",Applies the stopping rule: current public evidence permits keep-open language only.,facility-validation-ai-closure-audit.md,generated/psdq-bgd-facility-validation-ai-closure-audit-summary.json,generated/psdq-bgd-facility-validation-ai-closure-audit.csv,"This is an AI-first no-contact closure audit for unresolved PSDQ Bangladesh facility-validation rows. It audits whether the current public evidence and blank human-review fields permit closure, reclassification, map-absence language, or coordinate correction. It is not external outreach, not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
evidence-ladder,evidence navigation,Ten-stage evidence ladder,ai_evidence_ladder_not_validation,L3 evidence-ladder navigation artifact,ai_evidence_ladder_from_committed_psdq_summaries_v1,ai-first,2026-06-19T05:34:38Z,10,10,The evidence ladder indexes 10 stages and ends at 39 human/source-owner wall rows with 0 AI-actionable rows.,Gives the public page one compact navigation layer instead of stacked wall sections.,facility-validation-evidence-ladder.md,generated/psdq-bgd-facility-validation-evidence-ladder-summary.json,generated/psdq-bgd-facility-validation-evidence-ladder.csv,"This is an AI-first no-contact evidence ladder for the PSDQ Bangladesh facility-validation chain. It summarizes committed summary artifacts so a reader can follow the audit sequence. It is not external outreach, not human validation, not ground truth, not a row closure, not a same-facility reclassification, not a coordinate correction, not a facility-quality assessment, and not a service-access estimate."
