ledger_id,title,group,status,method,attestation_chain,generated_at,checked_rows,source_inputs_count,zero_claim_field_count,zero_claim_fields,substantive_finding,reader_use,artifact_path,summary_path,csv_path
bmkg-station-grade-closure-gate,BMKG station-grade closure gate,monitor grade and QA,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,ai-first,2026-07-01T09:45:25Z,22,3,6,calibration_status_rows|complete_monitor_grade_rows|explicit_station_grade_evidence_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG public pages expose method, display, dashboard, and source-level grade context for 22 PM2.5 rows; station-level inspection logs, calibration certificates, calibration-status records, complete grade rows, and station-radius grade-assumption rows all remain 0.",Supports the documented public-evidence absence finding.,bmkg-station-grade-closure-gate.md,generated/air-monitoring-bmkg-station-grade-closure-gate-summary.json,generated/air-monitoring-bmkg-station-grade-closure-gate.csv
bmkg-dashboard-status-source-scan,BMKG Dashboard Status Source Scan,BMKG deep dive,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,ai-first,2026-06-20T02:19:32Z,2640,2,5,calibration_status_available_rows|complete_monitor_grade_classification_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG Dashboard Status Source Scan records checked evidence, but 5 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-bmkg-dashboard-status-source-scan-summary.json,generated\air-monitoring-bmkg-dashboard-status-source-scan.csv
bmkg-near-closure-ledger,BMKG Near Closure Ledger,BMKG deep dive,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,ai-first,2026-06-20T06:07:17Z,22,0,5,calibration_status_rows|complete_monitor_grade_rows|station_radius_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG Near Closure Ledger records checked evidence, but 5 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-bmkg-near-closure-ledger-summary.json,
bmkg-regional-status-source-scan,BMKG Regional Status Source Scan,BMKG deep dive,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,ai-first,2026-06-20T01:50:41Z,22,2,5,calibration_status_available_rows|complete_monitor_grade_classification_rows|station_radius_grade_assumption_ready_rows|station_specific_calibration_certificate_rows|station_specific_inspection_log_rows,"BMKG Regional Status Source Scan records checked evidence, but 5 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-bmkg-regional-status-source-scan-summary.json,generated\air-monitoring-bmkg-regional-status-source-scan.csv
georgia-station-network-launch-source-scan,Georgia Station Network Launch Source Scan,Georgia deep dive,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,ai-first,2026-06-20T04:44:54Z,16,2,5,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows|verified_report_closure_available_rows,"Georgia Station Network Launch Source Scan records checked evidence, but 5 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-georgia-station-network-launch-source-scan-summary.json,generated\air-monitoring-georgia-station-network-launch-source-scan.csv
georgia-indicator-endpoint-mismatch,Georgia Indicator Endpoint Mismatch,Georgia deep dive,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,ai-first,2026-06-20T06:33:43Z,136,0,4,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Georgia Indicator Endpoint Mismatch records checked evidence, but 4 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-georgia-indicator-endpoint-mismatch-summary.json,generated\air-monitoring-georgia-indicator-endpoint-mismatch.csv
georgia-report-export-ladder,Georgia Report Export Ladder,Georgia deep dive,computed_georgia_report_export_ladder,air_monitoring_georgia_report_export_ladder_v1,ai-first,2026-06-19T22:49:26Z,24,2,4,complete_monitor_grade_classification_months|current_status_confirmed_months|station_radius_grade_assumption_ready_months|verified_report_closure_available_months,"Georgia Report Export Ladder records checked evidence, but 4 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-georgia-report-export-ladder-summary.json,generated\air-monitoring-georgia-report-export-ladder.csv
georgia-report-verification-source-scan,Georgia Report Verification Source Scan,Georgia deep dive,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,ai-first,2026-06-19T16:02:05Z,16,2,4,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows|verified_report_closure_available_rows,"Georgia Report Verification Source Scan records checked evidence, but 4 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-georgia-report-verification-source-scan-summary.json,generated\air-monitoring-georgia-report-verification-source-scan.csv
georgia-verification-policy,Georgia Verification Policy,Georgia deep dive,computed_georgia_verification_policy,air_monitoring_georgia_verification_policy_v1,ai-first,2026-06-20T00:11:57Z,24,2,4,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows|verified_report_closure_available_months,"Georgia Verification Policy records checked evidence, but 4 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-georgia-verification-policy-summary.json,
station-radius-country-unioned-catchment-dry-run,Station Radius Country Unioned Catchment Dry Run,denominator custody,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,ai-first,2026-06-21T04:05:55Z,33,3,4,complete_monitor_grade_rows|coverage_claim_allowed|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius Country Unioned Catchment Dry Run records checked evidence, but 4 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-station-radius-country-unioned-catchment-dry-run-summary.json,
station-radius-denominator-join-dry-run,Station Radius Denominator Join Dry Run,denominator custody,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,ai-first,2026-06-20T15:24:12Z,831,8,4,complete_monitor_grade_rows|coverage_claim_allowed|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius Denominator Join Dry Run records checked evidence, but 4 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-station-radius-denominator-join-dry-run-summary.json,
station-grade-decision-ledger,Station Grade Decision Ledger,monitor grade and QA,computed_station_grade_decision_ledger,air_monitoring_station_grade_decision_ledger_v1,ai-first,2026-06-19T14:55:01Z,66,6,4,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Station Grade Decision Ledger records checked evidence, but 4 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-station-grade-decision-ledger-summary.json,generated\air-monitoring-station-grade-decision-ledger.csv
station-code-status-method-source-scan,Station Code Status Method Source Scan,source review,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,ai-first,2026-06-19T14:02:58Z,41,4,4,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Station Code Status Method Source Scan records checked evidence, but 4 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-station-code-status-method-source-scan-summary.json,generated\air-monitoring-station-code-status-method-source-scan.csv
station-method-classification-audit,Station Method Classification Audit,source review,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,ai-first,2026-06-19T15:26:50Z,66,4,4,calibration_status_available_rows|complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Station Method Classification Audit records checked evidence, but 4 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-station-method-classification-audit-summary.json,generated\air-monitoring-station-method-classification-audit.csv
indonesia-georgia-row-method-source-scan,Indonesia Georgia Row Method Source Scan,Georgia deep dive,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,ai-first,2026-06-19T13:08:23Z,38,2,3,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Indonesia Georgia Row Method Source Scan records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-indonesia-georgia-row-method-source-scan-summary.json,generated\air-monitoring-indonesia-georgia-row-method-source-scan.csv
uzbekistan-air-portal-namespace,Uzbekistan Air Portal Namespace,Uzbekistan deep dive,computed_uzbekistan_air_portal_namespace,air_monitoring_uzbekistan_air_portal_namespace_v1,ai-first,2026-06-20T07:10:57Z,28,3,3,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Uzbekistan Air Portal Namespace records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-uzbekistan-air-portal-namespace-summary.json,
uzbekistan-blocker-external-context,Uzbekistan Blocker External Context,Uzbekistan deep dive,computed_uzbekistan_blocker_external_context,air_monitoring_uzbekistan_blocker_external_context_v1,ai-first,2026-06-20T01:00:08Z,4,3,3,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Uzbekistan Blocker External Context records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-uzbekistan-blocker-external-context-summary.json,
uzbekistan-blocker-row-followup,Uzbekistan Blocker Row Followup,Uzbekistan deep dive,computed_uzbekistan_blocker_row_followup,air_monitoring_uzbekistan_blocker_row_followup_v1,ai-first,2026-06-20T05:49:15Z,3,0,3,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Uzbekistan Blocker Row Followup records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-uzbekistan-blocker-row-followup-summary.json,
uzbekistan-endpoint-consistency,Uzbekistan Endpoint Consistency,Uzbekistan deep dive,computed_uzbekistan_endpoint_consistency,air_monitoring_uzbekistan_endpoint_consistency_v1,ai-first,2026-06-20T05:49:24Z,16,0,3,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Uzbekistan Endpoint Consistency records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-uzbekistan-endpoint-consistency-summary.json,
uzbekistan-method-policy-source-scan,Uzbekistan Method Policy Source Scan,Uzbekistan deep dive,computed_uzbekistan_method_policy_source_scan,air_monitoring_uzbekistan_method_policy_source_scan_v1,ai-first,2026-06-19T10:58:10Z,28,0,3,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Uzbekistan Method Policy Source Scan records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-uzbekistan-method-policy-source-scan-summary.json,
uzbekistan-station-current-method-scan,Uzbekistan Station Current Method Scan,Uzbekistan deep dive,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,ai-first,2026-06-19T10:33:19Z,93,0,3,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Uzbekistan Station Current Method Scan records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-uzbekistan-station-current-method-scan-summary.json,
uzbekistan-station-specific-source-evidence,Uzbekistan Station Specific Source Evidence,Uzbekistan deep dive,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,ai-first,2026-06-19T11:52:10Z,93,0,3,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Uzbekistan Station Specific Source Evidence records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-uzbekistan-station-specific-source-evidence-summary.json,
uzbekistan-status-certification-source-scan,Uzbekistan Status Certification Source Scan,Uzbekistan deep dive,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,ai-first,2026-06-19T12:32:13Z,28,0,3,complete_monitor_grade_classification_rows|current_status_confirmed_rows|station_radius_grade_assumption_ready_rows,"Uzbekistan Status Certification Source Scan records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,,generated/air-monitoring-uzbekistan-status-certification-source-scan-summary.json,generated\air-monitoring-uzbekistan-status-certification-source-scan.csv
station-radius-acag-coarse-checksums,Station-radius ACAG coarse checksum gate,denominator custody,computed_station_radius_acag_coarse_checksums,air_monitoring_station_radius_acag_coarse_checksums_v1,ai-first,2026-06-20T10:59:31Z,2,1,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius ACAG Coarse Checksums records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-acag-coarse-checksums.md,generated/air-monitoring-station-radius-acag-coarse-checksums-summary.json,generated/air-monitoring-station-radius-acag-coarse-checksums.csv
station-radius-acag-version-decision,Station-radius ACAG version-decision gate,denominator custody,computed_station_radius_acag_version_decision,air_monitoring_station_radius_acag_version_decision_v1,ai-first,2026-06-20T10:26:05Z,2024,3,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius ACAG Version Decision records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-acag-version-decision.md,generated/air-monitoring-station-radius-acag-version-decision-summary.json,generated/air-monitoring-station-radius-acag-version-decision.csv
station-radius-denominator-acquisition-routes,Station-radius denominator acquisition routes,denominator custody,computed_station_radius_denominator_acquisition_routes,air_monitoring_station_radius_denominator_acquisition_routes_v1,ai-first,2026-06-20T09:07:08Z,87,1,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius Denominator Acquisition Routes records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-denominator-acquisition-routes.md,generated/air-monitoring-station-radius-denominator-acquisition-routes-summary.json,generated/air-monitoring-station-radius-denominator-acquisition-routes.csv
station-radius-denominator-download-feasibility,Station-radius denominator download-feasibility gate,denominator custody,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,ai-first,2026-06-20T10:10:33Z,12,1,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius Denominator Download Feasibility records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-denominator-download-feasibility.md,generated/air-monitoring-station-radius-denominator-download-feasibility-summary.json,generated/air-monitoring-station-radius-denominator-download-feasibility.csv
station-radius-denominator-file-manifest-prefreeze,Station-radius denominator file-manifest prefreeze,denominator custody,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,ai-first,2026-06-20T09:43:37Z,12,1,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius Denominator File Manifest Prefreeze records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-denominator-file-manifest-prefreeze.md,generated/air-monitoring-station-radius-denominator-file-manifest-prefreeze-summary.json,generated/air-monitoring-station-radius-denominator-file-manifest-prefreeze.csv
station-radius-denominator-readiness,Station-radius denominator readiness wall,denominator custody,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,ai-first,2026-06-20T08:02:55Z,230,5,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius Denominator Readiness records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-denominator-readiness.md,generated/air-monitoring-station-radius-denominator-readiness-summary.json,generated/air-monitoring-station-radius-denominator-readiness.csv
station-radius-denominator-source-plan,Station-radius denominator source plan,denominator custody,computed_station_radius_denominator_source_plan,air_monitoring_station_radius_denominator_source_plan_v1,ai-first,2026-06-20T08:32:54Z,7,2,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius Denominator Source Plan records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-denominator-source-plan.md,generated/air-monitoring-station-radius-denominator-source-plan-summary.json,generated/air-monitoring-station-radius-denominator-source-plan.csv
station-radius-ghsl-corrected-population-tile-custody,Station-radius GHSL corrected population tile custody gate,denominator custody,computed_station_radius_ghsl_corrected_population_tile_custody,air_monitoring_station_radius_ghsl_corrected_population_tile_custody_v1,ai-first,2026-06-20T12:59:04Z,464408064,0,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius GHSL Corrected Population Tile Custody records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-ghsl-corrected-population-tile-custody.md,generated/air-monitoring-station-radius-ghsl-corrected-population-tile-custody-summary.json,generated/air-monitoring-station-radius-ghsl-corrected-population-tile-custody.csv
station-radius-ghsl-large-population-tile-custody,Station-radius GHSL large population tile custody gate,denominator custody,computed_station_radius_ghsl_large_population_tile_custody,air_monitoring_station_radius_ghsl_large_population_tile_custody_v1,ai-first,2026-06-20T13:30:26Z,521841319,0,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius GHSL Large Population Tile Custody records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-ghsl-large-population-tile-custody.md,generated/air-monitoring-station-radius-ghsl-large-population-tile-custody-summary.json,generated/air-monitoring-station-radius-ghsl-large-population-tile-custody.csv
station-radius-ghsl-population-tile-checksums,Station-radius GHSL population tile checksum gate,denominator custody,computed_station_radius_ghsl_population_tile_checksums,air_monitoring_station_radius_ghsl_population_tile_checksums_v1,ai-first,2026-06-20T11:52:14Z,102118404,0,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius GHSL Population Tile Checksums records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-ghsl-population-tile-checksums.md,generated/air-monitoring-station-radius-ghsl-population-tile-checksums-summary.json,generated/air-monitoring-station-radius-ghsl-population-tile-checksums.csv
station-radius-ghsl-population-tile-selection,Station-radius GHSL population tile-selection gate,denominator custody,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,ai-first,2026-06-20T11:15:46Z,189405916,3,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius GHSL Population Tile Selection records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-ghsl-population-tile-selection.md,generated/air-monitoring-station-radius-ghsl-population-tile-selection-summary.json,
station-radius-ghsl-tile-routing-correction,Station-radius GHSL tile-routing correction gate,denominator custody,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,ai-first,2026-06-20T12:18:54Z,277,0,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius GHSL Tile Routing Correction records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-ghsl-tile-routing-correction.md,generated/air-monitoring-station-radius-ghsl-tile-routing-correction-summary.json,
station-radius-method-prefreeze,Air Monitoring Station-Radius Method Prefreeze,denominator custody,computed_station_radius_method_prefreeze,air_monitoring_station_radius_method_prefreeze_v1,ai-first,2026-06-20T13:50:14Z,277,7,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius Method Prefreeze records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-method-prefreeze.md,generated/air-monitoring-station-radius-method-prefreeze-summary.json,generated/air-monitoring-station-radius-method-prefreeze.csv
station-radius-pm25-resolution-decision,Air Monitoring Station-Radius PM2.5 Resolution Decision,denominator custody,computed_station_radius_pm25_resolution_decision,air_monitoring_station_radius_pm25_resolution_decision_v1,ai-first,2026-06-20T14:40:11Z,2024,0,3,complete_monitor_grade_rows|station_radius_ready_economies|validated_same_station_join_rows,"Station Radius PM25 Resolution Decision records checked evidence, but 3 claim-enabling field(s) remain at zero.",Supports the documented public-evidence absence finding.,station-radius-pm25-resolution-decision.md,generated/air-monitoring-station-radius-pm25-resolution-decision-summary.json,generated/air-monitoring-station-radius-pm25-resolution-decision.csv
